taxon_id	name	full_name	family	n_proteins	n_interactions
2697049	SARS-CoV-2	Severe acute respiratory syndrome coronavirus 2	Coronaviridae	102	13008
64320	ZIKV	Zika virus	Flaviviridae	58	12161
11320	IAV	Influenza A virus	Orthomyxoviridae	300	11467
10376	EBV	Human gammaherpesvirus 4	Orthoherpesviridae	156	5487
10359	HCMV	Human betaherpesvirus 5	Orthoherpesviridae	267	4920
10407	HBV	Hepatitis B virus	Hepadnaviridae	63	3783
3052230	HCV	Orthohepacivirus hominis	Hepaciviridae	108	3124
11676	HIV-1	Human immunodeficiency virus 1	Retroviridae	171	2958
11234	MeV	Measles morbillivirus	Paramyxoviridae	22	2228
37296	KSHV	Human gammaherpesvirus 8	Orthoherpesviridae	124	2198
11060	DENV-2	Dengue virus type 2	Flaviviridae	65	2039
3052303	LCMV	Mammarenavirus choriomeningitidis	Arenaviridae	6	1998
694009	SARS-CoV	Severe acute respiratory syndrome-related coronavirus	Coronaviridae	67	1770
11053	DENV-1	Dengue virus type 1	Flaviviridae	19	1509
3052462	EBOV	Orthoebolavirus zairense	Filoviridae	20	1507
3052310	LASV	Mammarenavirus lassaense	Arenaviridae	8	1461
10298	HSV-1	Human alphaherpesvirus 1	Orthoherpesviridae	117	1242
39054	EV-A71	Enterovirus A71	Picornaviridae	33	1238
2169991	JUNV	Mammarenavirus juninense	Arenaviridae	6	1134
333760	HPV16	Human papillomavirus 16	Papillomaviridae	15	1083
194440	PTLV1	Primate T-lymphotropic virus 1	Retroviridae	22	1078
11250	HRSV	Human respiratory syncytial virus	Pneumoviridae	21	789
12072	CVB3	Coxsackievirus B3	Picornaviridae	17	777
3052225	NiV	Henipavirus nipahense	Paramyxoviridae	9	765
333761	HPV18	Human papillomavirus 18	Papillomaviridae	11	763
10497	ASFV	African swine fever virus	Asfarviridae	20	726
10579	HPV8	Human papillomavirus 8	Papillomaviridae	3	673
463676	RV-C1	Rhinovirus C	Picornaviridae	2	633
129951	HAdV-C	Human mastadenovirus C	Adenoviridae	55	600
10632	JCPyV	JC polyomavirus	Polyomaviridae	6	599
3052223	HeV	Henipavirus hendraense	Paramyxoviridae	10	582
10585	HPV31	Human papillomavirus 31	Papillomaviridae	14	571
